teff,logg,period
4261.0,4.68,15.284
3427.0,4.9,40.263
4055.0,4.58,24.902
4395.0,4.67,19.04
4121.0,4.66,22.011
4223.0,4.65,1.363
4320.0,4.63,1.939
4352.0,4.74,27.568
3358.0,4.97,5.066
4282.0,4.53,32.777
3861.0,4.71,39.506
4151.0,4.63,21.904
3684.0,4.81,32.137
4108.0,4.54,0.417
3500.0,4.97,13.841
4296.0,4.67,30.565
4221.0,4.69,27.285
3946.0,4.51,30.197
3910.0,4.28,22.308
4311.0,4.61,18.714
4185.0,4.71,28.712
3910.0,4.72,39.611
4290.0,4.67,24.593
4090.0,4.59,21.891
4206.0,4.61,28.569
3791.0,4.78,20.591
3346.0,5.07,52.676
3519.0,4.09,18.765
4357.0,4.74,41.719
4108.0,4.64,34.478
4256.0,4.57,23.406
4312.0,4.54,17.896
4304.0,4.41,23.883
4213.0,4.59,27.832
3919.0,4.5,17.982
4290.0,4.63,29.785
4343.0,4.68,44.618
4251.0,4.6,48.991
4340.0,4.64,13.859
4116.0,4.38,8.008
3811.0,4.77,33.442
4316.0,4.67,16.235
3483.0,4.87,29.969
3725.0,4.78,39.993
4152.0,4.55,15.156
4209.0,4.46,0.409
4188.0,4.51,11.724
3399.0,5.06,38.086
3928.0,4.44,25.483
4214.0,4.57,36.216
4295.0,4.61,24.098
4208.0,4.56,19.657
4025.0,4.45,5.926
4262.0,4.5,13.88
3853.0,4.34,31.556
3519.0,4.84,48.422
3825.0,4.33,0.388
4171.0,4.54,14.183
4310.0,4.64,29.288
3827.0,4.43,20.777
3549.0,4.87,28.778
3546.0,4.89,19.879
4258.0,4.61,16.989
4319.0,4.61,33.494
3436.0,4.99,31.52
4111.0,4.55,21.379
3895.0,4.74,28.698
4107.0,4.58,43.779
3794.0,4.79,39.443
4364.0,4.64,33.327
4117.0,4.55,12.658
4098.0,4.63,14.37
4222.0,4.61,20.387
4066.0,4.38,37.803
4396.0,4.7,27.975
4095.0,4.57,16.1
4396.0,4.57,29.286
4116.0,4.52,1.79
4317.0,4.68,20.455
4294.0,4.81,10.776
4217.0,4.34,4.252
4147.0,4.46,30.363
3581.0,4.86,38.976
4203.0,4.59,27.067
4171.0,4.52,12.293
3920.0,4.74,31.149
4059.0,4.63,39.739
3902.0,4.73,18.532
3925.0,4.72,14.442
3941.0,4.71,12.426
4154.0,4.41,30.977
4394.0,4.64,32.042
3509.0,4.89,40.903
3986.0,4.68,28.803
3981.0,4.48,31.439
3909.0,4.76,15.051
4261.0,4.45,28.887
3886.0,4.72,24.383
3949.0,4.54,15.144
4193.0,4.49,19.054
3527.0,4.88,26.378
4316.0,4.57,20.731
3614.0,4.25,47.672
3831.0,4.74,36.295
4172.0,4.52,18.212
3940.0,4.72,26.954
3802.0,4.75,15.899
4223.0,4.61,11.867
3993.0,4.52,13.412
3530.0,4.9,32.857
4236.0,4.5,12.867
4309.0,4.64,15.235
4265.0,4.76,35.56
3529.0,4.9,39.087
3344.0,4.98,48.324
4343.0,4.44,2.648
3577.0,4.87,28.105
3687.0,4.87,23.888
4298.0,4.55,34.313
4216.0,4.54,2.975
4224.0,4.53,19.838
4248.0,4.67,31.258
4102.0,4.45,11.321
4389.0,4.81,19.575
4346.0,4.66,12.807
3544.0,4.87,42.959
3579.0,4.87,5.454
3863.0,4.79,26.145
3742.0,4.74,17.096
4093.0,4.91,20.234
4363.0,4.67,27.27
3932.0,4.71,25.65
4360.0,4.61,13.55
3858.0,4.77,33.527
3649.0,4.25,36.662
3573.0,4.86,17.797
3515.0,4.94,19.944
3886.0,4.3,35.085
4200.0,4.43,39.684
4241.0,4.46,40.336
4092.0,4.55,31.492
3846.0,4.59,22.149
3970.0,4.7,15.825
4039.0,4.48,14.147
3512.0,4.94,19.611
3927.0,4.57,16.944
4295.0,4.62,14.161
3920.0,4.63,19.608
4111.0,4.42,20.213
3924.0,4.74,14.366
4306.0,4.56,13.09
4203.0,4.66,21.991
4277.0,4.54,38.262
4323.0,4.39,16.871
4397.0,4.49,31.117
4359.0,4.66,44.59
4319.0,4.71,11.91
4365.0,4.62,14.848
4356.0,4.58,11.982
4193.0,4.6,14.305
4185.0,4.76,15.925
4097.0,4.67,20.317
4118.0,4.57,24.894
4160.0,4.63,24.131
3404.0,5.08,16.526
4319.0,4.73,26.653
4268.0,4.69,12.471
4282.0,4.71,12.878
3867.0,4.72,40.08
3968.0,4.62,14.923
4375.0,4.85,25.9
4106.0,4.64,20.458
3883.0,4.73,0.204
3439.0,4.93,37.892
4293.0,4.82,25.293
4208.0,4.67,37.053
3866.0,4.71,17.222
3347.0,4.96,42.852
4310.0,4.64,38.844
4217.0,4.77,10.796
4037.0,4.4,27.504
4153.0,4.58,28.342
4063.0,4.48,11.329
3747.0,4.74,39.584
3666.0,4.36,33.763
4163.0,4.31,24.877
3341.0,4.97,28.403
3575.0,4.85,33.792
3723.0,4.41,36.272
3732.0,4.74,21.996
3543.0,4.88,45.898
4258.0,4.69,30.654
3629.0,4.84,3.506
3428.0,4.96,46.464
4204.0,4.66,24.315
4183.0,4.47,22.878
3888.0,4.73,16.708
3918.0,4.73,17.416
3981.0,4.7,29.544
3997.0,4.7,15.348
4075.0,4.39,17.827
4085.0,4.57,44.577
3541.0,4.87,35.422
4092.0,4.51,26.128
3351.0,4.96,41.398
4211.0,4.37,18.358
4297.0,4.69,22.003
4165.0,4.51,20.207
3950.0,4.72,16.493
4350.0,4.83,17.392
4342.0,4.48,36.034
3893.0,4.74,19.338
3974.0,4.72,19.968
4356.0,4.5,20.993
3963.0,4.72,26.149
4112.0,4.65,21.046
4196.0,4.61,40.193
3675.0,4.82,19.24
4333.0,4.6,28.883
4402.0,4.61,33.553
4174.0,4.43,32.466
4104.0,4.68,12.25
3647.0,4.78,19.54
