HIP,RAhms,DEdms,vmag,VarFlag,HD,spectral_type,tic,logg,teff,ra,dec,ms,rs,period
75718,15 28 09.57,-09 20 49.9,6.89,,137763.0,K2V,37149737.0,4.2133,5228.92,232.040054276423,-9.348071184675382,0.791999995708466,,6.291413724377185
24786,05 18 50.24,-18 07 48.7,5.96,,34721.0,G0V,408190069.0,4.20371,5962.0,79.71030365103191,-18.1300517504025,1.09,1.3673799999999998,12.689813317063244
80837,16 30 28.71,+04 10 53.8,7.27,,148816.0,F8V,281371481.0,4.21074,5874.22,247.618577801869,4.17822339598967,1.06,1.33757,13.568989252036694
81819,16 42 46.65,-37 20 32.2,7.16,,150474.0,G8V,458319418.0,3.84439,5441.12,250.69437401412603,-37.3425169935228,0.95,1.93063,37.66857394348574
73005,14 55 12.00,+53 40 45.1,7.77,,132142.0,K1V,161058448.0,4.5465,5145.0,223.79601690219897,53.680346398695,0.87,0.823268,21.030477210287543
104217,21 06 52.19,+38 44 03.9,6.05,2.0,201092.0,K7V,165602023.0,4.54589,3948.45,316.73026691789903,38.7420450356067,0.61,0.689846,18.30705401780599
73184,14 57 27.35,-21 24 40.6,5.72,,131977.0,K4V,287157634.0,4.6017800000000015,4680.94,224.36667038925097,-21.4154797016278,0.75,0.717254,15.401497154769565
117542,23 50 14.78,-29 24 06.4,7.88,,223515.0,K1V,33985272.0,4.552,5222.0,357.56209159733805,-29.401729609966804,0.89,0.8274219999999999,16.71941058428043
21543,04 37 31.93,+15 08 47.4,7.53,,29310.0,G1V,245902283.0,4.19999980926514,5850.29,69.3832625322118,15.1464529733554,1.19869995117188,1.40681,9.42082619883063
112245,22 44 05.76,+64 34 17.0,7.5,,215500.0,G8V,338930194.0,4.55327,5455.0,341.024275130987,64.5706708874228,0.95,0.853611,19.15098961944529
114924,23 16 42.19,+53 12 50.6,5.58,,219623.0,F7V,24467943.0,4.26536,6059.0,349.17626172128996,53.2134761902823,1.13,1.29686,3.3912071909914014
9716,02 04 59.31,-15 40 40.8,7.79,,12786.0,K0V,257500724.0,4.54171,5300.76,31.2471940596436,-15.678104005397401,0.91,0.846643,35.47102970069662
37789,07 44 56.17,+39 33 28.9,6.74,,62301.0,F8V,21373524.0,4.2051300000000005,5924.97,116.23413890230199,39.5563656567103,1.08,1.35888,22.581752864675284
12889,02 45 40.87,-38 09 33.5,7.64,,17322.0,G0V,147469587.0,4.23732,5967.59,41.420872051222894,-38.158718568208705,1.09,1.31549,11.916765584657492
101382,20 32 51.76,+41 53 50.6,7.08,,195987.0,G9V,17038893.0,4.28334,5104.98,308.215167140251,41.898498705798296,0.86,1.10819,25.890548136434465
116174,23 32 22.47,+35 19 50.3,7.96,,221477.0,F8V,200649033.0,4.18967,5850.18,353.09387963588,35.330459335510504,1.06,1.37042,16.23603385596684
3765,00 48 22.53,+05 17 00.2,5.74,,4628.0,K2V,257393898.0,4.5976599999999985,4937.0,12.095734692195899,5.28061389702288,0.81,0.748941,28.442099654202394
62523,12 48 47.26,+24 50 25.7,6.29,,111395.0,G7V,160010717.0,4.4861,5617.0,192.19603436880504,24.8402278519415,0.99,0.941457,26.088523517165854
45617,09 17 53.42,+28 33 42.3,7.2,,79969.0,K3V,149396581.0,4.33199977874756,4825.0,139.472689,28.560568,0.790000021457672,,13.289898785288429
66765,13 41 04.03,-34 27 49.5,6.92,1.0,118972.0,K1V,101969923.0,4.59682,5220.22,205.26737885326,-34.4641581432747,0.89,0.78581,24.95207413048351
111349,22 33 30.45,-35 26 39.2,7.8,,213628.0,G5V,253928127.0,4.47904,5548.52,338.377854735332,-35.4445465880801,0.98,0.944336,17.823819707828047
15799,03 23 35.23,-40 04 35.4,6.9,,21175.0,K0V,160004049.0,4.42489,5257.46,50.897043,-40.07640900000001,0.870000004768372,0.931389,10.795907966781485
62229,12 45 14.63,-57 21 27.7,7.82,,110810.0,K3V,419575434.0,4.6131,5005.0,191.310054727083,-57.35800107324351,0.83,0.744767,21.459926730972597
14339,03 04 54.95,-57 09 58.4,7.89,,19423.0,G2V,207171620.0,4.26509,5809.68,46.22879899092,-57.166274732506,1.04,1.24452,17.070680060774272
104214,21 06 50.84,+38 44 29.4,5.2,3.0,201091.0,K5V,165602000.0,4.5565,4304.53,316.72474839747,38.7494158434971,0.67,0.714202,34.38920243415672
75722,15 28 12.16,-09 21 25.2,7.57,2.0,137778.0,K2V,37149743.0,4.55457,5127.0,232.05087868763002,-9.357862176483259,0.86,0.8109609999999999,35.40164613500089
77421,15 48 20.37,-49 45 47.4,7.85,,140925.0,F7V,273956039.0,4.33255,6241.17,237.084413492617,-49.7632597867849,1.21,1.24208,5.235919954535543
17568,03 45 44.59,+58 51 21.9,7.76,,23129.0,F5V,317575716.0,4.37162,6312.0,56.435460434649706,58.8558122681104,1.24,1.20209,3.5009242277173445
94154,19 09 54.31,-68 17 58.5,7.53,,177409.0,G2V,382276154.0,4.45403,5894.99,287.477315099657,-68.2996917856802,1.07,1.01557,16.386360505751664
84709,17 18 56.36,-34 59 22.5,5.91,,156384.0,K4V,154385728.0,4.51885,4819.0,259.73789300000004,-34.989934000000005,0.330000013113022,,22.977362756934113
105911,21 27 01.11,-44 48 32.5,7.49,,203985.0,K0V,147113992.0,4.40845,5123.0,321.755491287375,-44.8086075783668,0.86,0.959533,14.421336116382198
