teff,logg,period
4141.0,4.78,22.91
3940.0,4.87,18.26
5201.0,4.54,37.02
4413.0,4.88,31.3
4076.0,4.8,16.72
3493.0,5.09,36.36
4215.0,4.76,33.65
3733.0,4.96,23.44
3738.0,4.92,12.98
4603.0,4.66,24.08
4116.0,4.8,31.31
4966.0,4.6,26.86
3428.0,5.07,18.37
5227.0,4.54,6.98
4078.0,5.05,28.8
6152.0,4.22,7.73
3889.0,4.87,12.65
3942.0,4.87,29.78
3591.0,5.02,28.31
5838.0,4.41,23.5
4008.0,4.84,23.26
4037.0,4.82,16.73
4075.0,4.8,27.74
3369.0,5.18,33.77
4649.0,4.67,25.17
4196.0,4.77,19.37
5550.0,4.47,21.63
3634.0,4.97,32.53
5308.0,4.53,33.25
4407.0,4.7,17.09
4593.0,4.65,16.63
4110.0,4.78,21.68
4897.0,4.6,32.55
3866.0,4.89,26.62
3888.0,4.88,30.42
4132.0,4.77,25.71
4191.0,4.76,22.2
3636.0,5.01,33.81
4001.0,4.83,23.06
4040.0,4.82,27.66
4183.0,4.76,26.25
3758.0,4.98,24.93
3937.0,4.85,23.99
3935.0,4.86,36.57
5859.0,4.33,20.21
4082.0,4.8,13.81
3868.0,4.9,24.27
4229.0,4.76,26.03
3661.0,5.0,35.35
4402.0,4.71,37.88
4151.0,4.77,19.55
4638.0,4.7,20.35
5409.0,4.56,14.03
3655.0,4.97,27.8
3893.0,4.89,18.05
4582.0,4.65,24.0
3661.0,4.94,20.04
3863.0,4.88,14.27
3642.0,5.03,5.22
5044.0,4.58,27.78
4464.0,4.68,8.95
3844.0,4.9,16.23
5215.0,4.57,37.86
