,teff,logg,period
50516,4025.0,4.84,24.03
50517,5134.0,4.57,19.42
50518,3622.0,4.96,23.22
50519,5709.0,4.47,23.6
50520,4936.0,4.59,22.14
50521,4872.0,4.62,20.96
50522,4170.0,4.81,22.46
50523,6146.0,4.31,22.72
50524,5294.0,4.57,21.14
50525,5532.0,4.51,21.41
50526,3797.0,4.9,19.38
50527,5525.0,4.51,10.58
50528,5461.0,4.43,20.31
50529,3907.0,4.84,20.55
50530,4453.0,4.68,21.74
50531,5528.0,4.37,18.85
50532,5998.0,4.21,19.06
50533,4284.0,4.74,14.68
50534,3523.0,5.05,17.57
50535,3920.0,4.83,15.72
50536,5499.0,4.47,20.42
50537,4857.0,4.61,11.21
50538,3745.0,4.91,19.29
50539,3686.0,4.96,6.29
50540,3745.0,4.93,17.12
50541,5294.0,4.55,21.05
50542,5987.0,4.26,9.31
50543,4099.0,4.78,18.67
50544,3816.0,4.91,23.05
50545,3656.0,5.0,2.68
50546,3699.0,4.93,20.82
50547,5956.0,4.4,15.52
50548,3682.0,4.99,15.94
50549,3695.0,4.96,16.93
50550,4239.0,4.78,20.19
50551,3978.0,4.85,3.14
50552,3727.0,4.94,18.28
50553,3942.0,4.84,16.85
50554,3500.0,5.05,22.65
50555,3887.0,4.87,17.41
50556,6110.0,4.22,12.42
50557,3908.0,4.92,14.18
50558,4278.0,4.75,21.52
50559,3745.0,4.92,21.19
50560,4838.0,4.61,22.17
50561,3706.0,4.93,22.12
50562,3686.0,4.95,12.32
50563,4248.0,4.75,23.59
50564,3724.0,4.95,22.55
50565,3932.0,4.85,17.74
50566,5802.0,4.43,13.58
50567,5369.0,4.55,19.67
50568,5158.0,4.54,14.89
50569,4080.0,4.82,21.9
50570,3503.0,5.06,22.9
50571,3662.0,4.99,14.48
50572,4596.0,4.65,18.23
50573,5180.0,4.55,19.42
50574,6240.0,4.21,10.0
50575,4776.0,4.62,11.94
50576,4321.0,4.72,22.08
50577,4081.0,4.79,22.83
50578,3946.0,4.85,13.41
50579,6157.0,4.28,18.24
50580,3673.0,4.99,22.89
50581,4796.0,4.64,17.05
50582,3504.0,5.06,17.5
50583,3510.0,5.04,23.96
50584,4018.0,4.82,22.95
50585,3980.0,4.87,24.27
50586,3648.0,4.98,23.45
50587,4687.0,4.65,22.65
50588,5347.0,4.61,19.85
50589,5957.0,4.39,9.17
50590,5771.0,4.45,24.37
50591,4470.0,4.69,8.84
50592,4738.0,4.62,20.29
50593,5831.0,4.38,14.73
50594,3726.0,4.97,18.95
50595,5815.0,4.36,23.02
50596,3807.0,4.9,1.99
50597,5942.0,4.32,5.3
50598,4515.0,4.67,12.29
50599,3525.0,5.05,23.39
50600,3770.0,4.91,16.63
50601,5234.0,4.59,14.43
50602,4075.0,4.81,23.83
50603,4974.0,4.63,17.54
50604,3895.0,4.86,15.08
50605,5030.0,4.61,22.81
50606,4386.0,4.7,20.96
50607,4015.0,4.83,24.49
50608,4844.0,4.61,23.68
50609,5499.0,4.49,13.56
50610,4968.0,4.6,20.98
50611,3855.0,4.86,16.71
50612,3878.0,4.86,20.54
50613,3648.0,5.0,20.16
50614,5720.0,4.45,21.12
50615,5754.0,4.4,13.31
50616,3487.0,5.05,7.32
50617,3669.0,4.94,15.58
50618,3602.0,5.02,17.69
50619,5173.0,4.57,13.43
50620,5878.0,4.26,16.8
50621,4585.0,4.66,22.76
50622,5538.0,4.55,19.93
50623,5033.0,4.57,22.2
50624,3661.0,4.98,23.76
50625,4991.0,4.6,18.44
50626,3863.0,4.88,24.09
50627,3900.0,4.86,19.99
50628,3788.0,4.92,16.92
50629,3426.0,5.11,21.92
50630,5735.0,4.47,11.94
50631,5592.0,4.46,24.53
50632,5735.0,4.46,14.02
50633,4766.0,4.63,19.43
50634,5385.0,4.56,19.31
50635,5639.0,4.51,20.42
50636,3707.0,4.95,20.36
50637,6028.0,4.23,14.03
50638,4939.0,4.61,11.13
50639,5439.0,4.54,21.36
50640,5787.0,4.34,16.58
50641,3853.0,4.86,14.57
50642,5963.0,4.39,17.24
50643,4175.0,4.76,23.46
50644,5050.0,4.59,14.86
50645,4041.0,4.82,13.8
50646,4041.0,4.8,16.95
50647,5385.0,4.55,14.86
50648,3802.0,4.92,16.85
50649,4385.0,4.7,11.72
50650,4906.0,4.61,17.28
50651,6217.0,4.31,17.75
50652,3936.0,4.86,20.89
50653,4701.0,4.67,7.0
50654,4206.0,4.78,22.59
50655,4792.0,4.64,21.56
50656,4445.0,4.66,23.7
50657,4883.0,4.62,21.59
50658,3924.0,4.87,20.87
50659,5659.0,4.45,19.59
50660,5568.0,4.46,22.57
50661,6017.0,4.27,14.22
50662,5412.0,4.52,15.7
50663,4215.0,4.76,12.83
50664,5826.0,4.46,15.27
50665,3507.0,5.04,2.63
50666,6064.0,4.31,2.99
50667,4034.0,4.82,14.8
50668,3871.0,4.88,18.52
50669,4851.0,4.64,19.18
50670,4769.0,4.62,19.72
50671,3536.0,5.04,3.88
50672,4979.0,4.58,21.33
50673,3892.0,4.84,17.45
50674,3896.0,4.86,14.94
50675,5844.0,4.29,20.44
50676,5719.0,4.43,15.1
50677,6100.0,4.24,24.95
50678,3662.0,4.96,23.19
50679,3713.0,4.99,19.88
50680,6096.0,4.24,12.95
50681,3553.0,5.03,23.74
50682,4838.0,4.59,11.57
50683,5594.0,4.46,14.26
50684,4764.0,4.63,17.02
50685,4251.0,4.72,20.78
50686,3609.0,4.97,16.61
50687,4028.0,4.83,23.75
50688,3630.0,5.01,6.68
50689,5642.0,4.45,22.41
50690,4575.0,4.66,16.09
50691,4703.0,4.65,24.92
50692,3837.0,4.89,16.16
50693,3978.0,4.85,14.6
50694,4295.0,4.73,12.3
50695,5198.0,4.56,14.02
50696,3701.0,4.93,22.25
50697,3659.0,4.97,20.46
50698,3883.0,4.9,17.77
50699,5276.0,4.52,17.43
50700,3834.0,4.9,4.15
50701,3753.0,4.9,15.78
50702,3654.0,4.97,8.51
50703,4712.0,4.65,24.31
50704,3988.0,4.89,15.38
50705,4267.0,4.76,17.35
50706,5822.0,4.34,10.42
50707,4101.0,4.8,16.72
50708,4549.0,4.66,8.36
50709,3597.0,4.99,22.4
50710,4483.0,4.66,5.18
50711,4490.0,4.73,17.26
50712,4161.0,4.76,2.66
50713,5818.0,4.32,14.44
50714,5888.0,4.47,13.3
50715,3814.0,4.95,24.93
50716,4109.0,4.78,14.02
50717,3954.0,4.85,14.06
50718,3593.0,5.02,2.38
50719,5974.0,4.57,17.72
50720,3943.0,4.84,18.92
50721,4209.0,4.87,17.76
50722,4013.0,4.82,21.52
50723,5619.0,4.43,7.75
50724,5071.0,4.58,15.86
50725,4271.0,4.78,24.77
50726,4903.0,4.61,14.09
50727,4983.0,4.61,3.72
50728,3614.0,5.02,22.27
50729,5855.0,4.42,13.32
50730,3929.0,4.86,20.96
50731,4533.0,4.67,16.79
50732,4068.0,4.83,23.11
50733,4112.0,4.79,20.93
50734,5641.0,4.29,16.02
50735,4499.0,4.68,17.19
50736,4456.0,4.69,20.81
50737,3608.0,5.0,19.01
50738,3671.0,4.98,15.73
50739,3784.0,4.94,20.88
50740,4713.0,4.65,11.99
50741,5275.0,4.54,15.13
50742,5351.0,4.55,22.44
50743,3801.0,4.94,16.25
50744,4275.0,4.7,13.33
50745,3945.0,4.85,24.78
50746,5899.0,4.47,11.4
50747,5712.0,4.41,17.34
50748,4967.0,4.61,11.86
50749,3629.0,5.01,21.09
50750,3779.0,4.9,4.01
50751,4926.0,4.6,15.66
50752,4058.0,4.8,21.31
50753,5273.0,4.47,16.16
50754,3735.0,4.92,24.92
50755,4505.0,4.67,23.4
50756,3655.0,4.99,14.74
50757,4488.0,4.68,23.98
50758,6195.0,4.31,11.63
50759,4016.0,4.82,16.95
50760,5042.0,4.58,13.8
50761,3503.0,5.03,18.58
50762,4574.0,4.66,18.73
50763,3685.0,5.0,16.46
50764,4005.0,4.82,11.43
50765,5857.0,4.21,14.51
50766,3846.0,4.91,20.4
50767,3627.0,4.98,17.31
50768,3853.0,4.86,18.95
50769,5746.0,4.41,15.33
50770,5251.0,4.53,14.47
50771,3770.0,4.97,17.45
50772,4160.0,4.76,17.72
50773,3568.0,5.02,20.33
50774,4113.0,4.82,23.03
50775,3785.0,4.95,22.06
50776,6018.0,4.34,23.78
50777,4095.0,4.79,20.21
50778,3444.0,5.07,19.64
50779,3914.0,4.85,23.64
50780,3417.0,5.09,22.24
50781,3718.0,5.02,23.78
50782,4208.0,4.93,19.76
50783,3813.0,4.93,19.91
50784,4504.0,4.66,21.71
50785,3924.0,4.86,16.42
50786,3671.0,4.97,20.7
50787,5943.0,4.28,9.21
50788,3594.0,5.01,20.66
50789,4185.0,4.78,20.27
50790,3726.0,4.97,22.56
50791,3858.0,4.92,21.49
50792,4026.0,4.82,19.42
50793,3924.0,4.86,17.67
50794,4048.0,4.8,23.5
50795,3814.0,4.92,22.24
50796,3814.0,4.93,23.94
50797,3671.0,4.99,24.04
50798,5091.0,4.57,14.86
50799,3866.0,4.88,23.13
50800,3869.0,4.92,23.0
50801,5479.0,4.55,10.16
50802,5259.0,4.52,1.97
50803,4710.0,4.61,15.4
50804,5562.0,4.46,19.01
50805,3964.0,4.9,21.0
50806,3635.0,5.01,17.39
50807,3764.0,4.92,16.83
50808,4717.0,4.64,14.97
50809,3657.0,4.99,18.84
50810,5938.0,4.34,24.61
50811,3971.0,4.82,24.16
50812,3763.0,4.94,14.91
50813,6009.0,4.24,15.72
50814,3893.0,4.92,22.79
50815,3927.0,4.9,24.4
50816,3596.0,5.02,21.46
50817,5739.0,4.48,22.82
50818,5086.0,4.62,22.95
50819,5810.0,4.37,21.4
50820,3988.0,4.86,23.59
